contrast,energy,homogeneity,correlation,label
637.5489665354332,0.022402799003358242,0.2227892814652712,0.8969532957466944,Matang
1516.6237696850394,0.027005063066082854,0.1933845692879819,0.8050374059810541,Mentah
1458.0273745078744,0.009786128906674192,0.061843242240748615,0.7805516305304717,Mentah
751.403973917323,0.011994624432682045,0.07893650420827508,0.8422458834671918,Matang
1135.5228223425197,0.022708894787760038,0.2032552719645214,0.8989444094267447,Matang
1316.1632627952758,0.014185283403496009,0.15441865216878817,0.8129854669606601,Matang
985.631028543307,0.012909955821399277,0.14323633604580568,0.8264858143323098,Setengah Matang
1176.1921136811027,0.010406712020416087,0.08128519523745693,0.84380221826418,Matang
1763.393823818898,0.010255156757536011,0.06365928206765469,0.7327322746910176,Mentah
992.08187746063,0.013127812308493638,0.13464175411579601,0.8242969556199157,Matang
535.7097071850394,0.012409344225096245,0.10113902684079928,0.9018293773040517,Mentah
763.8843503937009,0.015080269139807645,0.12186254912902494,0.8813825243585949,Matang
652.2106914370081,0.024944541011936664,0.2388349401707737,0.9176051249474757,Matang
1360.0623154527561,0.010143198859961103,0.08391468584241349,0.7947524708675392,Matang
739.9909571850395,0.012395461389421731,0.08155277619272125,0.8421737089442493,Matang
1069.1339197834648,0.012575570349302321,0.13585569002999875,0.8265611027102214,Mentah
728.9550319881891,0.01651992786059183,0.12435207534915393,0.8992153755998116,Matang
1118.6465305118109,0.010982757794880121,0.09145856340091003,0.8470077576956374,Setengah Matang
786.4531250000002,0.013790713941348842,0.14597428532602708,0.887166977351016,Mentah
639.3060408464567,0.07376162732900692,0.3575156191948766,0.9022063186209106,Matang
1175.3260334645668,0.0119224756612213,0.12529353514281977,0.8071704151562801,Mentah
1069.4934793307084,0.01034260669538549,0.06621319939955803,0.8135400274460987,Setengah Matang
675.5092273622048,0.07420880050564013,0.2886860402707792,0.9031811151134905,Matang
645.6696604330709,0.01259564046044944,0.09429542404968182,0.9087997445975439,Matang
1185.5537647637793,0.020101017834057985,0.17895438977376518,0.8271401955733235,Mentah
932.5083661417325,0.019042875212423746,0.19222190280446375,0.8414157500604882,Matang
1059.653604822835,0.010419340482494849,0.0695024258885884,0.8205834517828203,Setengah Matang
660.2603961614175,0.025795204324383536,0.23937036311134974,0.911494894106324,Setengah Matang
549.7587352362204,0.013614589974260896,0.13497247559347256,0.9082041742774793,Mentah
986.4685654527559,0.034627356088924,0.24910645110451984,0.8692282908417021,Matang
1135.0687130905515,0.011539655863178771,0.10300805272612036,0.8141459643029484,Matang
1665.892347440945,0.010692774838599777,0.06237299270472358,0.7551992053368808,Matang
1019.5982406496063,0.01326566817214875,0.09829395848521177,0.8333989408989306,Matang
564.8726008858268,0.022705728426232703,0.233261827915217,0.9177563930647508,Matang
931.4037278543309,0.18940857152858503,0.2790109232942738,0.9170315732669573,Matang
1590.5525344488194,0.01003913637648707,0.09214163598779732,0.7912946560988495,Mentah
1066.1640625,0.012903798799025597,0.1288390679112884,0.7935677894737193,Matang
754.394438976378,0.011763268393262789,0.09998144306970687,0.9005411921108711,Mentah
429.09165846456693,0.011997857772112423,0.09678781643494476,0.9197102410411501,Matang
463.19365157480314,0.08205431804521433,0.4567676541428143,0.9407537086831758,Mentah
